data,titulo,resumo
2018-01-31,"Cramer Remix: AbbVie and Biogen are the best-in-show biotechs for 2018 so far","Jim Cramer breaks down his take on the biotech pullback and which two he thinks could be top performers."
2018-01-31,"Cramer's lightning round: Take a long-term view on Johnson & Johnson","Jim Cramer shares his take on callers' favorite stocks at lightning speed, including one pharmaceutical play under pressure."
2018-01-31,"Cramer suggests 6 State of the Union stock picks","Jim Cramer analyzes the president's State of the Union address to find the best stocks to buy off the rhetoric."
2018-01-31,"Cramer's rigorous guide for investing during market volatility","Jim Cramer lists the secular growth themes worth buying on days when the market takes dramatic swings."
2018-01-30,"Cramer Remix: Amazon knocked Walgreens and UnitedHealth down, but they’ll get back up again","Jim Cramer predicts how stocks like Walgreens and United Health will fare in light of the Amazon health-care development."
2018-01-30,"Cramer's lightning round: AT&T's cash flow could get a boost","Jim Cramer zipped through his take on callers' favorite stocks, including a telecommunications play in merger talks."
2018-01-30,"Cramer bullish on Dr Pepper-Keurig deal despite Wall Street's tepid response","Jim Cramer lists the benefits of the Dr Pepper Snapple-Keurig Green Mountain deal, zeroing in on Keurig CEO Bob Gamgort's track record."
2018-01-30,"Top steel CEO says US 'desperately' needs new infrastructure to sustain economic boom","Jim Cramer speaks to Nucor Chairman and CEO John Ferriola about Chinese steel dumping and President Donald Trump's agenda."
2018-01-30,"Cramer says Centene is the way to play the Amazon-Berkshire-JP Morgan health care move","Jim Cramer advises investors on how to act after Amazon, Berkshire Hathaway and J.P. Morgan announced a joint foray into health care."
2018-01-29,"Cramer Remix: Why Apple’s stock has been set up to fail","Jim Cramer still says to hold Apple, not trade it, but shares why he feels indifferent to its upcoming quarter."
2018-01-29,"Cramer weighs in on the stock of Wynn Resorts after misconduct allegations","Jim Cramer estimates the future of Wynn Resorts after its CEO, Steve Wynn, was accused of sexual misconduct."
2018-01-29,"Cramer's lightning round: Prudential's not Metlife, but watch out for pin action","Jim Cramer zoomed through his take on callers' favorite stocks, including an insurance play."
2018-01-29,"Daryl Guppy takes a look at the S&P 500","Daryl Guppy of Guppytraders.com sees strong support around 2,700 for the S&P 500 and advises to wait on Apple."
2018-01-29,"Cramer's charts forecast further gains for health care giants Centene and Cardinal Health","Jim Cramer takes to the charts with Marc Chaikin to see if shares of Centene, Cardinal Health and Amgen have more room to run."
2018-01-29,"Cramer: Use the earnings 'damage' to your advantage this week","Jim Cramer advises investors on how to use their cash wisely during a volatile week of earnings."
2018-01-29,"Goldman Sachs sees 'high probability' of a stock market correction in the coming months","Goldman Sachs believes ""correction signals are flashing"" and is advising its clients to prepare for a correction."
2018-01-29,"Cramer Remix: The 115-year-old 3M is still getting it right","Jim Cramer reveals why 3M is an oldie but a goodie."
2018-01-26,"Cramer's lightning round: I would not sell Valeant right now","Jim Cramer flew through his take on callers' favorite stocks, including a pharmaceutical play undergoing a turnaround."
2018-01-26,"Head of esports scholarship program is bullish on competitive gaming, but not with games like NBA 2K","Jim Cramer sits down with UC Irvine's Acting Director of esports Mark Deppe to hear about how competitive gaming is coming to colleges."
